"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,2.88711557280907,0.987,0.33,0,"Oligodendrocytes","PLP1"
"2",0,2.6991413079371,0.989,0.353,0,"Oligodendrocytes","MBP"
"3",0,2.64565338458008,0.987,0.196,0,"Oligodendrocytes","CTNNA3"
"4",0,2.54503748467362,0.976,0.146,0,"Oligodendrocytes","ST18"
"5",0,2.53692879561,0.981,0.166,0,"Oligodendrocytes","RNF220"
"6",0,2.20128563376563,0.972,0.207,0,"Oligodendrocytes","TF"
"7",0,2.14601006781808,0.984,0.312,0,"Oligodendrocytes","SLC24A2"
"8",0,1.99612051960743,0.997,0.649,0,"Oligodendrocytes","IL1RAPL1"
"9",0,1.99056051025206,0.945,0.133,0,"Oligodendrocytes","TMEM144"
"10",0,1.98904691684593,0.904,0.137,0,"Oligodendrocytes","DOCK5"
"11",0,3.42721139784961,0.985,0.281,0,"Microglia","PLXDC2"
"12",0,3.28286867245516,0.96,0.066,0,"Microglia","LRMDA"
"13",0,2.90816315971824,0.882,0.391,0,"Microglia","SPP1"
"14",0,2.68815232007993,0.903,0.077,0,"Microglia","ST6GAL1"
"15",0,2.66276884731368,0.973,0.501,0,"Microglia","LDLRAD4"
"16",0,2.573626163553,0.912,0.034,0,"Microglia","DOCK8"
"17",0,2.44126889591356,0.936,0.179,0,"Microglia","SRGAP2"
"18",0,2.37056830321154,0.968,0.546,0,"Microglia","FRMD4A"
"19",0,2.34822657487752,0.87,0.187,0,"Microglia","FGD4"
"20",0,2.34279343278713,0.883,0.204,0,"Microglia","SFMBT2"
"21",0,3.70405368638697,0.99,0.137,0,"OPCs","TNR"
"22",0,3.52958799258061,0.971,0.11,0,"OPCs","LHFPL3"
"23",0,3.34268603121422,0.964,0.088,0,"OPCs","PCDH15"
"24",0,3.26413572713525,0.986,0.356,0,"OPCs","DSCAM"
"25",0,3.21586474432982,0.982,0.146,0,"OPCs","PTPRZ1"
"26",0,3.0382488919033,0.955,0.232,0,"OPCs","XYLT1"
"27",0,2.94345542660152,0.914,0.189,0,"OPCs","SLC35F1"
"28",0,2.75312811411463,0.993,0.357,0,"OPCs","OPCML"
"29",0,2.72646192333398,0.947,0.461,0,"OPCs","LRRC4C"
"30",0,2.39424976856796,0.885,0.033,0,"OPCs","MEGF11"
"31",0,4.09463759320994,0.661,0.208,0,"Astrocytes","SLC1A2"
"32",0,3.27662892650269,0.648,0.14,0,"Astrocytes","GPC5"
"33",0,2.76503234771314,0.632,0.062,0,"Astrocytes","ADGRV1"
"34",0,2.47992768022581,0.815,0.319,0,"Astrocytes","ELOVL5"
"35",0,2.28382444189954,0.674,0.232,0,"Astrocytes","SPARCL1"
"36",0,2.26899620790491,0.587,0.011,0,"Astrocytes","OBI1-AS1"
